	author	title	link	img_src	price	year	price_extracted	surname	title_extracted	nach_Titel_Autor_ppn	nach_Titel_Autor_medium	nach_Titel_Autor_Bestand_K10	nach_title_extracted_surname_Ort_Göttingen	nach_title_extracted_surname_Medium_Göttingen	nach_title_extracted_surname_URL_GUK	nach_title_extracted_surname_Bestand_Göttingen
20	Von Rayman Gill-Rai. München 2016.	Indien. Ein Fest für die Sinne.	https://www.froelichundkaufmann.de/aktueller-newsletter/indien-ein-fest-fuer-die-sinne.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/indien-ein-fest-fuer-die-sinne_2862450.jpg	nur 14,95 €	2016.0	14.95	Gill-Rai	Indien	84226910X	Aax	1.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Indien"" and PER Gill-Rai&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
21	Von Gary Schwartz. Köln 2017.	Vermeer. Meisterwerke im Detail.	https://www.froelichundkaufmann.de/aktueller-newsletter/vermeer-meisterwerke-im-detail.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/vermeermeisterwerke-im-detail_809780.jpg	Sonderausgabe** 14,95 €	2017.0	14.95	Schwartz	Vermeer	174512120X|1745121145|1734713755|1671497414|1624587372|881070696|818645865|817321365	Aax|Aax|Aax|Aax|Aau|Aau|Oau|Aau	8.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Vermeer"" and PER Schwartz&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
22	Von Sylvia Sumira. Darmstadt 2016.	Der Globus. 400 Jahre Geschichte, Macht, Entdeckungen.	https://www.froelichundkaufmann.de/aktueller-newsletter/der-globus-400-jahre-geschichte-macht-entdeckungen.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/der-globus400-jahre-geschichtemachtendtdeckungen_778800.jpg	nur 14,95 €	2016.0	14.95	Sumira	Der Globus	857708473|1747016438|174660090X|1624490794|1746801239|1746602759	Aau|Asr|Osr|Asn|Asr|Osr	32.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Der Globus"" and PER Sumira&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
23	Von Mario Dal Bello. Regensburg 2015.	Christusbilder.	https://www.froelichundkaufmann.de/aktueller-newsletter/christusbilder.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/christusbilder_704792.jpg	nur 9,95 €	2015.0	9.95	Bello	Christusbilder	1616510536|839175736	Aau|Aau	8.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Christusbilder"" and PER Bello&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
24	Von Heidi Howcroft, Fotografien von Marianne Majerus. München 2021.	Die geheimen Gärten von England. Entdeckungen im Gartenparadies.	https://www.froelichundkaufmann.de/aktueller-newsletter/die-geheimen-gaerten-von-england-entdeckungen-im-gartenparadies.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/die-geheimen-gaerten-von-england-entdeckungen-im-gartenparad_699004.jpg	Sonderausgabe** 14,99 €	2021.0	14.99	Howcroft	Die geheimen Gärten von England	1777188350|810574179	Aax|Aau	5.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Die geheimen Gärten von England"" and PER Howcroft&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
25	Von Simon Winchester. München 2013.	Der Atlantik. Biografie eines Ozeans.	https://www.froelichundkaufmann.de/aktueller-newsletter/der-atlantik-biografie-eines-ozeans.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/der-atlantikbiografie-eines-ozeans_619965.jpg	nur 9,95 €	2013.0	9.95	Winchester	Der Atlantik	785149848|1691955035|722730233	Aau|Lax|Aau	19.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Der Atlantik"" and PER Winchester&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
26	Hg. Wilhelm Kreutz u.a. Regensburg 2013.	Die Wittelsbacher und die Kurpfalz in der Neuzeit. Zwischen Reformation und Revolution.	https://www.froelichundkaufmann.de/aktueller-newsletter/die-wittelsbacher-und-die-kurpfalz-in-der-neuzeit-zwischen-reformation-und-revolution.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/die-wittelsbacher-und-die-kurpfalz-im-der-neuzeitzwischen-re_603996.jpg	nur 9,95 €	2013.0	9.95	Kreutz	Die Wittelsbacher und die Kurpfalz in der Neuzeit	1602285330|71722662X	Aau|Aau	36.0	FMAG	Aau	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Die Wittelsbacher und die Kurpfalz in der Neuzeit"" and PER Kreutz&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	1
27	Hg. Christoph Wagner, Oliver Jehle.	Albrecht Altdorfer. Kunst als zweite Natur.	https://www.froelichundkaufmann.de/aktueller-newsletter/albrecht-altdorfer-kunst-als-zweite-natur.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/albrecht-altdorferkunst-als-zweite-natur_576581.jpg	nur 19,95 €		19.95	Wagner	Albrecht Altdorfer	719653266|362065543	Aau|Aau	30.0	7/055	Aau	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Albrecht Altdorfer"" and PER Wagner&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	1
28	Reprint der letzten Ausgabe von 1628. Berlin 2021.	Sebastian Münster. Cosmographia. Die Beschreibung der ganzen Welt.	https://www.froelichundkaufmann.de/aktueller-newsletter/sebastian-muenster-cosmographia-die-beschreibung-der-ganzen-welt.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/sebastian-muensters-cosmographia_376566.jpg	Sonderausgabe** 49,95 €	1628.0	49.95		Sebastian Münster	1724712217|1698773331|1693734265|1688589805|1682500659|1681080583|1687078548|1560408383|873116348|1748346768|1649929943|1005434212|1001804287|890632693|1657502767|102605107X|853831785|1747088099|1746625007|1642412090|1486340172|1485174422|89165318X|891653171|891653155|823209695|798838620|79857772X|793897963|892394374|1767047126|143931344X|1698442173|1693673061|870446851|836183711|720584132|668504587|626843952|1767055943|1510030123|139112796X|1391127757|731548388|683937987|625019474|62501927X|176705890X|1666382213|66404140X|1657700801|1044480351|586181466|1604816880|1336434368|1336434295|67214865X|672148641|518614379|482772166|1620048329|1536207314|1536045160|1187684295|387546413|1588522660|1763376915|1602936064|1353299481|1169611850|891135758|348367287|1659768675|1631230093|878973133|582763576|539880620|1660966957|53954700X|1621279294|324917848|1747054275|1652429727|1652429719|1583512462|1583512454|1120282837|1120282713|1120221870|473655330|19343881X|191561460|188343024|188343016|1747063495|676068316|1748236539|1746892161|1330827767|1104782030	Bau|Bau|Osn|Asu|Aau|Asu|Oax|Aau|Aau|Oar|Asu|Aax|Oau|Oax|Oau|Asu|Aax|Asr|Osr|Asu|Asu|Asu|Asn|Asn|Asn|Asu|Asu|Aau|Asu|Asn|Osu|Aau|Asu|Oax|Oax|Oax|Asu|Asu|Aau|Osu|Osn|Afu|Afu|Asu|Asu|Afu|Afu|Osu|AFu|Aau|Oan|Asn|Asu|Aau|Afu|Afu|Afu|Afu|Aau|Aau|Aau|Asn|Asn|Aar|Aau|Osn|Asn|Aau|Aau|Aau|Aax|Asu|Asr|Asn|Asu|Asn|Obv|Asr|Abv|Asr|Abv|Asr|Oan|Oan|AfB|AfB|Afu|Afu|Aau|Asn|Afu|Aau|Afu|Acu|Asr|Asn|Aar|Asr|Asu|Afu	331.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Sebastian Münster"" and PER &MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	
29	Hg. Walter Raunig. Regensburg. 2. Auflage 2016.	Äthiopien - Geschichte, Kunst, Kultur.	https://www.froelichundkaufmann.de/aktueller-newsletter/aethiopien-geschichte-kunst-kultur.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/aethiopien-geschichte-kunst-kultur_285064.jpg	nur 29,95 €	2016.0	29.95	Raunig	Äthiopien - Geschichte	1769748431|1036370925|797401652|73532395X|646612727|63251194X|38994193X|140487819X	Aau|Aau|Aau|Asy|Asu|Aau|Aau|Aar	28.0	7/066|FMAG	Aau	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Äthiopien - Geschichte"" and PER Raunig&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	2
30	Von P. Gerhard Ruf. Regensburg 2012.	Die Fresken der Oberkirche San Francesco in Assisi - Ikonographie und Theologie	https://www.froelichundkaufmann.de/aktueller-newsletter/die-fresken-der-oberkirche-san-francesco-in-assisi-ikonographie-und-theologie.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/die-fresken-der-oberkirche-san-francesco-in-assisi-ikonograp_248959.jpg	nur 24,95 €	2012.0	24.95	Ruf		1777622891|1777192927|1777188326|1777181380|177613723X|1041905025|1777944856|1777608503|1777547954|1777470862|1777148987|1776170407|1776067908|1776065581|1776065182|1775846962|1774644983|1772093181|1769981454|1769980946|1769980725|1769884041|1769884025|1769573259|1768029407|1767887825|176788723X|1767666934|1767103913|1766778879|1766543502|1766103650|1765538173|1765263786|1764965035|1764958039|176474988X|1764772601|1764771621|1764145151|1762788616|1761648470|1761619160|1761238221|1761225901|1761200461|1760948624|1760760293|1760760269|176040618X|1760364371|176012401X|1760121827|175987356X|1759862576|1759843318|175949304X|1759319384|1759013226|1758986395|1758954345|1758878479|1758288345|1758052961|1758021691|1757524304|1757297901|175704504X|1755878184|1755687834|1753955793|1753520460|1753456894|1753413346|1753408113|1753391695|1753205832|1752393570|1751042405|1750008157|1750007290|1749276259|1748620258|1747323330|1744022577|1742529208|1742519431|1739098773|1695723104|1695718208|166277379X|789370824|177753867X|1777415918|1776148274|1774652129|1771310308|1769584420|1767700768|1761593145	Asu|Aax|Aax|Aax|Aax|Aax|Osu|Asx|Oax|Aaa|Aau|Osu|Aax|Aax|Aax|Asu|Aax|Aau|Asu|Asu|Asu|Oax|Oax|Aaa|Oav|Aax|Aax|Oau|Asu|Aau|AFu|Aau|Oax|Osu|Asu|Aau|Asx|Oau|Oau|Asu|Aau|Aau|Aau|Asu|Asu|Aax|Aau|Asx|Asx|Asu|Osu|Asu|Asu|Oaa|Asu|Oax|Aau|Aay|Aax|Asu|Oau|Oax|Aau|Asu|Aax|Asu|Aax|Osu|Oau|Aaa|Asu|Oax|Oax|Aax|Aau|Aau|Osu|Aau|Asu|Oau|Aau|Asu|Asu|Oax|Aau|Aau|Aax|Aax|Aax|Aau|Aaa|Aaa|Asu|Asu|Aax|Aax|Asu|Aau|Aau|Asx	113.0	BBM	Aau|Oau|Oax	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT"""" and PER Ruf&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	748
31	Hg. von H. Bächtold-Stäubli u.a. Berlin 2021.	Handwörterbuch des deutschen Aberglaubens. 10 Bände.	https://www.froelichundkaufmann.de/aktueller-newsletter/handwoerterbuch-des-deutschen-aberglaubens-10-baende.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/handwoerterbuch-des-deutschen-aberglaubens_167100.jpg	Sonderausgabe** 49,95 €	2021.0	49.95	Bächtold-Stäubli	Handwörterbuch des deutschen Aberglaubens	1730534619|1724744461|1698571712|1687259666|168725611X|1681474476|1681474247|1335547649|584979223|50753851X|1684928907|1619602350|1616228628|161622861X|1616228539|1322760764|820485721|583538754|583538738|583538711|58353869X|583538681|583538673|583538665|583538657|583436552|583368808|583368794|320557022|320380475|32038036X|320380343|320380211|320380165|320380106|32037999X|320379833|320379612|1583176276|100120039X|839474091|792831306|074313029|074313010|074313002|074312995|074312987|074312979|074312960|074312952|074312944|074312936|074312928|032181590|032181582|032181574|032181566|032181558|03218154X|032181531|032181523|032181515|032181507|032181493|030047587|030047579|030047560|030047552|030047544|030047536|030047528|03004751X|030047501|030047498|03004748X|1773718304|1756419809|1670003302|1030054274|583701566|13862402X|038195933|030180724|583701558|1773718290|1756419787|1030054266|138624003|073647039|038195925|030180716|58370154X|1773718282|1756419779|1030054258|583701531|138623996|038195917|030180708|1773718274	Aax|Oax|Oax|Oax|Oax|Oax|Oax|Sau|Ssu|Sau|Acn|Aar|Aax|Aax|Aax|Acu|Acn|AFn|AFn|AFn|AFn|AFn|AFn|AFn|AFn|Acn|AFn|AFn|Afu|Afu|Afu|Afu|Afu|Afu|Afu|Afu|Afu|Afu|Aau|AcB|Acn|Acn|Afn|Afn|Afn|Afn|Afn|Afn|Afn|Afn|Afn|Afn|Acn|Afu|Afu|Afu|Afu|Afu|Afu|Afu|Afu|Afu|Afu|Acu|Afu|Afu|Afu|Afu|Afu|Afu|Afu|Afu|Afu|Afu|Acu|AFn|Afx|Aax|Aan|AFn|Afu|Afk|Afu|AFn|AFn|Afx|Aan|Afu|Acn|Afk|Afu|AFn|AFn|Afx|Aan|AFn|Afu|Afk|Afu|AFn	944.0	7/906|HG-MPI|7/068|GMAG|7/222	Sau|Afu	"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Handwörterbuch des deutschen Aberglaubens"" and PER Bächtold-Stäubli&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	54
32	Kinderkoffer, Plüschpuppe, Magnet.	Pettersson Findus Set, 3-teilig.	https://www.froelichundkaufmann.de/aktueller-newsletter/pettersson-findus-set-3-teilig.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/pettersson-findus-set3-teilig_1326430.jpg	19,95 €		19.95	Plüschpuppe	Pettersson Findus Set						"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Pettersson Findus Set"" and PER Plüschpuppe&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
33	Sound-Adventskalender.	»It’s Christmas Time«. Vintage-Plattenspieler mit 24 Weihnachtssongs.	https://www.froelichundkaufmann.de/aktueller-newsletter/it-s-christmas-time-vintage-plattenspieler-mit-24-weihnachtssongs.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/it-s-christmas-timevintage-plattenspieler-mit-24-weihnachtss_1312421.jpg	29,00 €		29.0		»It’s Christmas Time«	1553373227|1553370309|1550942603|873131339|875164889|823721582|81443004X|1754746306|1702435873|612201929|1754465536|539902934|509030866|1600391982|475171144|379466090|1621062074|478218168|1602843848|1102562963|1101683384|1754465528|1600148816|1101683260|732911354|553114654	BFu|Zcu|AFu|Bax|Bsu|Aau|Bau|Aan|Oax|Bar|BaX|Aau|Aau|Bau|Bar|Bar|Aar|Bsn|Aau|Bfu|Afu|BaX|Bau|Acu|Oax|Oax	63.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""»It’s Christmas Time«"" and PER &MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	
34	Der mondäne Stil der Goldenen Zwanziger.	Art Deco Kalender 2022. 16 Monatsblätter.	https://www.froelichundkaufmann.de/aktueller-newsletter/art-deco-kalender-2022-16-monatsblaetter.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/art-deco-kalender-2022-16-monatsblaetter_1289101.jpg	nur 5,00 €		5.0	Zwanziger	Art Deco Kalender 2022						"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Art Deco Kalender 2022"" and PER Zwanziger&MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	0
35	München / Wien 2017.	Fröhliche Weihnachten. Die schönsten Bilder der Wiener Werkstätte. Postkarten-Set.	https://www.froelichundkaufmann.de/aktueller-newsletter/froehliche-weihnachten-die-schoensten-bilder-der-wiener-werkstaette-postkarten-set.html?force_sid=12dkq0duit6vrmatnilvdbq35o	https://www.froelichundkaufmann.de/out/pictures/generated/product/1/390_245_80/froehliche-weihnachtendie-schoensten-bilder-der-wiener-werks_1014315.jpg	12,00 €	2017.0	12.0		Fröhliche Weihnachten	1758283556|175799128X|1757987800|175492378X|175492297X|1753407877|1751050696|1748485881|1744268053|1741998905|174182009X|1737894076|1736172018|1734760079|1695711424|1686983514|1686833946|1684347815|168375154X|1683532333|1679375229|1679368710|1674683650|1674683634|1670830160|1666148571|1665765410|1665569069|1665566523|1665529814|1665524634|1665507098|166540938X|1049509498|1683635515|1670237656|1046907379|1035254379|1035254360|1029059543|1027241034|1023299070|102239584X|1022390031|1022388401|102006126X|1019211822|1019200790|1018304908|1754681409|1644583879|163024046X|1630084549|1023461897|1014457122|1006325344|89698883X|889150214|889149739|887613071|886502837|885154495|884662411|883553341|883551721|881638552|873107446|1549070142|1026157846|880479469|878842977|876526822|874060206|873581172|873571134|870575295|865872422|862776643|859938409|859565556|859126994|859108694|858673894|858645491|858633876|857712748|857258729|1653694092|1617728721|1616722525|1600608078|842180915|82373031X|823728501|1614045569|1609162315|784235058|783346425|782652670|1622014308	Aax|Aax|Aax|Aax|Aax|Aax|Aax|AFu|Aau|Aax|Oax|Oax|Aax|Aax|Aau|Aax|Oax|Oax|Aax|Asu|Aaa|Aax|Oax|Oax|Aax|Aau|Aax|Aax|Aax|Aax|Aax|Aau|Aax|AFu|Aau|Aau|Aax|Aau|Aau|Aax|Aax|Aax|Aau|Aax|Aax|Aax|Aax|Aax|Aax|BaX|Aau|Aau|Aau|AFu|Aau|Bau|Aau|Aax|Aax|Aau|Aax|Aau|Aax|Aau|Aau|Aax|Aax|Asu|Asu|Abv|Aau|Aax|Aax|Aax|Aax|AFu|Aax|Aax|Aax|Bau|Aau|Aau|Aax|Aau|Aau|Aax|Aax|Oan|Aau|Aau|Bau|Asu|Aau|Aau|Aau|Aau|Aau|Aau|Aau|Aau	44.0			"https://opac.sub.uni-goettingen.de/DB=1/SET=2/TTL=1/CMD?ACT=SRCHA&IKT=1016&SRT=YOP&TRM=TIT""Fröhliche Weihnachten"" and PER &MATCFILTER=N&MATCSET=N&NOSCAN=N&ADI_BIB="	
